window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
2325.0,2355.0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_00, SPEAKER_02, SPEAKER_05"
2340.0,2370.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_05"
2370.0,2400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_02
2385.0,2415.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,SPEAKER_02
2400.0,2430.0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_05"
2415.0,2445.0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,SPEAKER_05
2430.0,2460.0,1,4,0,0,2,0,0,2,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_05"
2445.0,2475.0,0,2,0,0,3,0,0,3,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_05"
2460.0,2490.0,0,2,0,0,1,0,0,6,0,0,0,2,0,1,SPEAKER_02
2475.0,2505.0,1,2,0,0,1,0,0,4,0,0,0,2,0,1,"SPEAKER_02, SPEAKER_05"
2490.0,2520.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,"SPEAKER_02, SPEAKER_05"
2505.0,2535.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
2520.0,2550.0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
2535.0,2565.0,0,1,0,0,1,0,0,2,1,0,0,0,0,2,"SPEAKER_01, SPEAKER_02"
2550.0,2580.0,0,1,0,0,1,1,0,1,1,0,0,0,0,2,"SPEAKER_01, SPEAKER_02"
2565.0,2595.0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_01"
2580.0,2610.0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,"SPEAKER_00, SPEAKER_01, SPEAKER_02"
2595.0,2625.0,1,0,0,0,1,0,0,3,0,0,0,1,0,7,"SPEAKER_01, SPEAKER_02"
2610.0,2640.0,2,1,0,0,1,0,0,5,0,0,0,1,0,6,SPEAKER_02
2625.0,2655.0,1,1,0,0,2,0,0,4,0,0,0,1,0,1,SPEAKER_02
2640.0,2670.0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,SPEAKER_02
2655.0,2685.0,1,1,0,0,3,0,0,0,0,0,1,0,0,1,"SPEAKER_02, SPEAKER_05"
2670.0,2700.0,2,1,0,0,2,0,0,1,0,0,1,1,0,2,"SPEAKER_02, SPEAKER_05"
2685.0,2715.0,1,0,0,0,3,0,0,2,0,0,0,1,0,2,"SPEAKER_02, SPEAKER_05"
2700.0,2730.0,0,0,0,0,2,0,0,2,0,0,0,1,0,3,SPEAKER_02
2715.0,2745.0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,SPEAKER_02
2730.0,2760.0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,SPEAKER_02
2745.0,2775.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_02
2760.0,2790.0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,SPEAKER_05
2775.0,2805.0,0,1,0,0,3,0,0,4,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_05"
2790.0,2820.0,2,2,0,0,4,0,0,1,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_05"
2805.0,2835.0,2,2,0,0,3,0,0,2,0,0,0,0,0,2,"SPEAKER_02, SPEAKER_05"
2820.0,2850.0,0,1,0,0,3,0,0,2,1,0,0,0,0,3,"SPEAKER_02, SPEAKER_05"
2835.0,2865.0,0,1,0,0,3,0,0,0,1,0,0,0,0,2,SPEAKER_02
2850.0,2880.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"SPEAKER_02, SPEAKER_04"
2865.0,2895.0,0,3,0,0,1,0,1,0,0,0,0,1,0,1,SPEAKER_04
2880.0,2910.0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,SPEAKER_04
2895.0,2925.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,SPEAKER_05
2910.0,2940.0,0,2,0,0,2,0,0,0,0,1,0,1,0,1,"SPEAKER_02, SPEAKER_05"
2925.0,2955.0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_05"
2940.0,2970.0,0,1,0,0,3,1,0,1,0,0,0,1,0,2,"SPEAKER_01, SPEAKER_02"
2955.0,2985.0,0,3,0,0,3,0,0,3,0,0,0,1,0,2,SPEAKER_02
