window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF,speaker
2100.0,2130.0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,"CSLLaptop, HCILab1"
2340.0,2370.0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,HCILab1
2355.0,2385.0,0,0,3,0,2,0,0,0,0,1,1,1,0,1,HCILab1
2370.0,2400.0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,HCILab1
2385.0,2415.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"HCILab1, HCILab2"
2400.0,2430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HCILab2
2505.0,2535.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HCILab1
2520.0,2550.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HCILab1
2775.0,2805.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,HCILab2
2790.0,2820.0,0,0,2,0,0,1,0,0,0,2,0,1,0,2,"CSLLaptop, HCILab2"
2805.0,2835.0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,"CSLLaptop, HCILab2"
2910.0,2940.0,0,0,2,0,1,0,0,0,0,2,1,3,0,0,"CSLLaptop, CSLPC"
2925.0,2955.0,0,0,4,0,1,0,0,0,0,2,1,5,0,0,"CSLLaptop, CSLPC"
2940.0,2970.0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,"CSLLaptop, CSLPC"
2955.0,2985.0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,HCILab2
2970.0,3000.0,0,0,7,0,0,0,0,0,0,0,0,2,0,1,"HCILab1, HCILab2"
2985.0,3015.0,0,0,6,0,0,1,0,0,0,0,0,3,1,1,"CSLLaptop, HCILab1, HCILab2"
3000.0,3030.0,0,0,4,0,0,2,0,0,0,3,0,3,1,1,"CSLLaptop, HCILab1, HCILab2"
3015.0,3045.0,0,0,3,0,0,1,0,0,0,3,0,1,0,1,"CSLLaptop, HCILab2"
3030.0,3060.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,CSLLaptop
3045.0,3075.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,CSLLaptop
3285.0,3315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HCILab1
3300.0,3330.0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,HCILab1
3315.0,3345.0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,HCILab1
3420.0,3450.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,HCILab1
3435.0,3465.0,0,0,3,0,0,1,0,0,0,2,0,2,0,0,"HCILab1, HCILab2"
3450.0,3480.0,0,0,6,0,0,0,0,0,0,1,1,3,0,1,"HCILab1, HCILab2"
3465.0,3495.0,0,0,4,0,0,0,0,1,0,0,1,4,0,1,"CSLPC, HCILab1, HCILab2"
3480.0,3510.0,0,0,3,0,0,0,0,1,0,2,0,4,0,1,"CSLPC, HCILab1"
3495.0,3525.0,0,0,4,0,0,0,0,0,0,2,0,1,0,1,"CSLPC, HCILab1"
3510.0,3540.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HCILab1
3765.0,3795.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CSLPC
3780.0,3810.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"CSLPC, Chris"
3795.0,3825.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Chris, HCILab2"
3810.0,3840.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HCILab2
3825.0,3855.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chris
3840.0,3870.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chris
