window_start,window_end,P11_TMA,P32_IMO,P21_AMP,P12_TGS,P24_ACO,P20_ACT,P100_OVERALL,P22_ASM,P31_ICM,P13_TSF,P33_IAM,P30_INTER,P23_ATM,P10_TRANS,speaker
2850.0,2880.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SPEAKER_02
2865.0,2895.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SPEAKER_02
2895.0,2925.0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,SPEAKER_07
2910.0,2940.0,0,0,0,0,0,3,3,0,0,0,0,3,1,0,"SPEAKER_01, SPEAKER_07"
2925.0,2955.0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,"SPEAKER_01, SPEAKER_07"
2955.0,2985.0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,"SPEAKER_00, SPEAKER_04"
2970.0,3000.0,0,0,1,0,0,3,0,0,0,1,1,7,0,0,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
2985.0,3015.0,0,0,1,0,0,5,3,0,0,0,1,5,0,0,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
3000.0,3030.0,0,0,1,0,0,3,4,0,0,1,1,5,0,0,"SPEAKER_04, SPEAKER_07"
3015.0,3045.0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,"SPEAKER_04, SPEAKER_07"
3285.0,3315.0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,SPEAKER_00
3300.0,3330.0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,SPEAKER_00
3315.0,3345.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SPEAKER_00
3420.0,3450.0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,"SPEAKER_00, SPEAKER_04"
3435.0,3465.0,0,0,1,0,0,3,2,0,0,1,0,6,0,1,"SPEAKER_00, SPEAKER_04, SPEAKER_05"
3450.0,3480.0,0,0,0,0,0,5,0,0,0,1,0,4,0,1,"SPEAKER_00, SPEAKER_01, SPEAKER_04, SPEAKER_05"
3465.0,3495.0,0,0,0,0,1,3,2,0,0,0,0,3,0,0,"SPEAKER_00, SPEAKER_01"
3480.0,3510.0,0,0,0,0,1,1,2,0,0,1,0,4,0,0,"SPEAKER_00, SPEAKER_01"
3495.0,3525.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,SPEAKER_00
3750.0,3780.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_06
3765.0,3795.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_06
3780.0,3810.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_06
3810.0,3840.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_06
3825.0,3855.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_06
3840.0,3870.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_06
3855.0,3885.0,0,0,0,0,0,0,4,1,0,0,0,4,0,1,SPEAKER_06
3870.0,3900.0,0,0,0,0,0,3,4,1,0,1,0,3,0,4,SPEAKER_06
3885.0,3915.0,0,0,0,0,0,3,1,0,0,2,0,3,0,5,"SPEAKER_06, SPEAKER_07"
3900.0,3930.0,0,0,0,0,0,0,1,0,0,1,1,3,0,2,"SPEAKER_06, SPEAKER_07"
3915.0,3945.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SPEAKER_06
