window_start,window_end,P11_TMA,P32_IMO,P21_AMP,P12_TGS,P24_ACO,P20_ACT,P100_OVERALL,P22_ASM,P31_ICM,P13_TSF,P33_IAM,P30_INTER,P23_ATM,P10_TRANS,speaker
1080.0,1110.0,0,0,1,1,0,1,0,0,0,1,0,7,0,2,"SPEAKER_01, SPEAKER_03"
1095.0,1125.0,0,0,1,0,0,1,1,0,0,2,0,6,0,1,"SPEAKER_03, SPEAKER_07"
1110.0,1140.0,0,0,1,0,0,4,1,0,0,3,0,6,0,4,"SPEAKER_03, SPEAKER_07"
1125.0,1155.0,0,0,2,0,0,3,1,0,0,1,0,11,0,6,"SPEAKER_03, SPEAKER_07"
1140.0,1170.0,0,0,1,0,0,3,1,0,0,0,0,8,0,6,"SPEAKER_03, SPEAKER_06, SPEAKER_07, SPEAKER_08"
1155.0,1185.0,0,0,0,0,0,5,1,0,0,0,0,5,0,3,"SPEAKER_03, SPEAKER_06, SPEAKER_07, SPEAKER_08"
1170.0,1200.0,1,0,0,0,0,3,2,0,0,0,1,4,0,0,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1185.0,1215.0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,"SPEAKER_00, SPEAKER_03"
1200.0,1230.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"SPEAKER_00, SPEAKER_02"
1215.0,1245.0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,"SPEAKER_00, SPEAKER_02, SPEAKER_03"
1230.0,1260.0,0,0,0,0,0,1,0,0,0,2,1,5,0,1,"SPEAKER_03, SPEAKER_08"
1245.0,1275.0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,"SPEAKER_03, SPEAKER_08"
1275.0,1305.0,0,0,0,0,0,2,1,0,0,1,0,2,0,2,SPEAKER_08
1290.0,1320.0,0,0,0,0,0,2,1,0,0,1,0,5,0,2,"SPEAKER_04, SPEAKER_07, SPEAKER_08"
1305.0,1335.0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,"SPEAKER_03, SPEAKER_04, SPEAKER_07, SPEAKER_08"
1320.0,1350.0,0,0,0,0,0,0,3,0,0,0,1,10,0,3,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1335.0,1365.0,0,0,0,0,0,0,5,0,0,0,0,7,0,2,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1350.0,1380.0,0,0,0,0,0,0,6,1,0,0,0,4,0,2,SPEAKER_07
1365.0,1395.0,0,0,0,0,0,2,5,1,0,0,0,4,0,4,SPEAKER_07
1380.0,1410.0,0,0,0,0,0,3,4,0,0,1,0,5,0,4,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
1395.0,1425.0,0,0,0,0,0,1,3,0,0,2,0,8,0,2,"SPEAKER_03, SPEAKER_06, SPEAKER_08"
1410.0,1440.0,0,0,0,0,0,1,3,0,0,1,0,7,0,3,"SPEAKER_02, SPEAKER_03, SPEAKER_08"
1425.0,1455.0,0,0,0,0,0,3,6,0,0,0,1,9,0,6,"SPEAKER_02, SPEAKER_03, SPEAKER_08"
1440.0,1470.0,0,0,0,0,0,2,3,2,0,0,1,12,0,6,"SPEAKER_03, SPEAKER_08"
1455.0,1485.0,0,0,0,0,0,0,1,2,0,1,0,10,0,4,"SPEAKER_03, SPEAKER_08"
1470.0,1500.0,0,0,0,0,0,0,1,0,0,1,0,5,0,4,"SPEAKER_03, SPEAKER_06"
1485.0,1515.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"SPEAKER_02, SPEAKER_03, SPEAKER_06"
1500.0,1530.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"SPEAKER_02, SPEAKER_08"
1515.0,1545.0,0,0,0,1,0,1,2,0,0,1,1,2,0,1,SPEAKER_08
1530.0,1560.0,0,0,1,1,0,1,2,0,0,1,1,4,1,2,"SPEAKER_01, SPEAKER_08"
1545.0,1575.0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,SPEAKER_01
1560.0,1590.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,"SPEAKER_03, SPEAKER_07"
1575.0,1605.0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,"SPEAKER_03, SPEAKER_07"
1590.0,1620.0,0,0,2,0,0,1,6,0,0,1,0,2,1,1,SPEAKER_03
1605.0,1635.0,0,0,3,0,0,1,5,1,0,1,1,2,1,0,SPEAKER_03
1620.0,1650.0,0,0,2,0,0,1,1,2,0,0,1,9,0,0,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
1635.0,1665.0,0,0,1,0,0,2,1,1,0,0,0,8,0,0,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
1650.0,1680.0,0,0,3,0,0,2,2,0,0,0,0,2,0,0,"SPEAKER_06, SPEAKER_07"
1665.0,1695.0,0,0,3,0,0,1,2,0,0,1,0,3,0,1,"SPEAKER_07, SPEAKER_08"
1680.0,1710.0,0,0,0,0,0,1,1,0,0,3,0,5,0,1,"SPEAKER_00, SPEAKER_08"
1695.0,1725.0,0,0,0,1,0,1,3,0,0,2,1,4,0,1,"SPEAKER_00, SPEAKER_08"
1710.0,1740.0,0,0,0,1,0,0,5,0,0,0,1,2,0,2,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1725.0,1755.0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1740.0,1770.0,0,0,2,0,0,0,6,0,0,0,0,0,0,3,"SPEAKER_07, SPEAKER_08"
1755.0,1785.0,0,0,3,0,0,4,5,1,0,0,0,2,1,3,SPEAKER_07
1770.0,1800.0,0,0,1,0,0,6,8,1,0,0,1,4,1,1,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1785.0,1815.0,0,0,0,0,0,6,10,0,0,0,1,7,0,0,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1800.0,1830.0,0,0,0,0,0,6,8,0,0,0,0,8,0,1,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
1815.0,1845.0,0,0,0,1,0,3,2,0,0,1,1,3,0,6,"SPEAKER_07, SPEAKER_08"
1830.0,1860.0,0,0,0,1,0,2,2,0,0,1,1,3,0,9,"SPEAKER_07, SPEAKER_08"
1845.0,1875.0,0,0,0,0,0,3,6,1,0,1,0,7,0,4,"SPEAKER_01, SPEAKER_03, SPEAKER_07, SPEAKER_08"
1860.0,1890.0,0,0,0,0,0,2,4,2,0,1,0,5,0,1,"SPEAKER_01, SPEAKER_03"
1875.0,1905.0,0,0,0,1,0,0,0,2,0,1,0,3,0,1,"SPEAKER_01, SPEAKER_08"
1890.0,1920.0,0,0,0,3,0,0,1,1,0,1,0,4,0,2,"SPEAKER_01, SPEAKER_08"
1905.0,1935.0,0,0,0,2,0,2,2,0,0,2,1,2,0,6,SPEAKER_08
1920.0,1950.0,0,0,0,1,0,2,4,0,0,2,1,0,0,6,SPEAKER_08
1935.0,1965.0,0,0,0,1,0,1,4,0,0,0,0,3,0,2,"SPEAKER_01, SPEAKER_08"
1950.0,1980.0,0,0,0,0,0,1,4,0,0,0,0,4,0,1,"SPEAKER_01, SPEAKER_08"
1965.0,1995.0,0,0,0,3,0,0,5,0,0,0,0,2,0,3,"SPEAKER_01, SPEAKER_08"
1980.0,2010.0,0,0,0,3,0,0,6,0,0,1,0,3,0,2,SPEAKER_08
1995.0,2025.0,0,0,0,0,0,2,5,0,0,1,0,4,0,1,"SPEAKER_06, SPEAKER_07, SPEAKER_08"
2010.0,2040.0,0,0,3,0,0,3,6,0,0,0,0,6,0,1,"SPEAKER_06, SPEAKER_07, SPEAKER_08"
2025.0,2055.0,0,0,3,0,0,2,5,0,0,0,4,7,0,2,SPEAKER_07
2040.0,2070.0,0,0,1,0,0,1,3,0,0,0,5,9,0,5,"SPEAKER_07, SPEAKER_08"
2055.0,2085.0,0,0,2,0,0,1,4,0,0,2,1,6,0,4,"SPEAKER_07, SPEAKER_08"
2070.0,2100.0,0,0,1,0,0,3,8,0,0,4,0,2,0,2,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
2085.0,2115.0,0,0,0,0,0,3,6,1,0,2,0,7,0,2,"SPEAKER_03, SPEAKER_08"
2100.0,2130.0,0,0,0,0,0,1,2,1,0,0,0,8,0,3,SPEAKER_03
2115.0,2145.0,0,0,0,0,0,3,5,0,0,0,0,3,0,4,"SPEAKER_03, SPEAKER_08"
2130.0,2160.0,0,0,0,0,0,3,6,0,0,1,0,4,0,3,SPEAKER_08
2145.0,2175.0,0,0,0,0,0,2,6,0,0,1,0,3,0,2,SPEAKER_08
2160.0,2190.0,0,0,0,0,0,1,6,0,0,1,1,3,0,1,"SPEAKER_03, SPEAKER_08"
2175.0,2205.0,0,0,1,0,0,1,6,0,0,2,1,5,0,3,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
2190.0,2220.0,0,0,1,0,0,1,7,0,0,1,0,4,0,4,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
2205.0,2235.0,0,0,0,0,0,1,7,0,0,0,0,2,0,3,SPEAKER_08
2220.0,2250.0,0,0,3,0,0,1,7,1,0,0,0,2,0,3,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
2235.0,2265.0,0,0,3,0,0,2,5,1,0,0,0,2,0,5,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
2250.0,2280.0,0,0,0,0,0,6,5,0,0,1,0,6,0,5,"SPEAKER_03, SPEAKER_06, SPEAKER_08"
2265.0,2295.0,0,0,0,0,0,4,3,0,0,1,0,5,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_08"
2280.0,2310.0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,SPEAKER_08
2295.0,2325.0,0,0,0,0,0,1,3,1,0,0,0,1,0,2,SPEAKER_08
2310.0,2340.0,0,0,0,0,0,3,5,3,0,0,0,2,0,0,"SPEAKER_07, SPEAKER_08"
2325.0,2355.0,0,0,0,0,0,2,8,2,0,0,0,1,1,1,"SPEAKER_07, SPEAKER_08"
2340.0,2370.0,0,0,0,0,0,3,8,0,0,0,0,1,1,3,"SPEAKER_07, SPEAKER_08"
2355.0,2385.0,0,0,0,0,0,3,4,0,0,0,0,2,0,3,SPEAKER_08
2370.0,2400.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,SPEAKER_08
2385.0,2415.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"SPEAKER_06, SPEAKER_08"
2400.0,2430.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"SPEAKER_06, SPEAKER_08"
2415.0,2445.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,SPEAKER_01
2430.0,2460.0,0,0,0,1,0,3,1,0,0,1,0,3,0,1,"SPEAKER_01, SPEAKER_07, SPEAKER_08"
2445.0,2475.0,0,0,0,1,0,4,1,0,0,1,0,4,0,1,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
2460.0,2490.0,0,0,0,0,0,1,2,0,0,0,0,5,0,2,"SPEAKER_03, SPEAKER_07"
2475.0,2505.0,0,0,0,0,0,1,4,0,0,1,1,2,0,3,"SPEAKER_03, SPEAKER_07"
2490.0,2520.0,0,0,0,0,0,2,4,0,0,1,1,1,0,1,SPEAKER_07
2505.0,2535.0,0,0,0,0,0,2,3,0,0,0,0,1,0,1,"SPEAKER_07, SPEAKER_08"
2520.0,2550.0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,"SPEAKER_07, SPEAKER_08"
2535.0,2565.0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,SPEAKER_07
2550.0,2580.0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,"SPEAKER_07, SPEAKER_08"
2565.0,2595.0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,SPEAKER_08
2580.0,2610.0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,"SPEAKER_03, SPEAKER_08"
2595.0,2625.0,0,0,0,0,0,1,3,0,0,0,1,3,0,1,"SPEAKER_03, SPEAKER_08"
2610.0,2640.0,0,0,0,0,0,1,2,0,0,0,0,3,1,1,"SPEAKER_03, SPEAKER_08"
2625.0,2655.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,SPEAKER_08
2670.0,2700.0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,SPEAKER_07
2685.0,2715.0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,"SPEAKER_07, SPEAKER_08"
2700.0,2730.0,0,0,1,0,0,1,5,0,0,0,0,3,0,5,"SPEAKER_07, SPEAKER_08"
2715.0,2745.0,0,0,1,0,0,1,12,0,0,0,0,3,0,9,"SPEAKER_07, SPEAKER_08"
2730.0,2760.0,0,0,0,0,0,4,11,0,0,0,0,3,0,5,"SPEAKER_07, SPEAKER_08"
2745.0,2775.0,0,0,0,0,0,3,4,0,0,0,0,2,0,1,SPEAKER_07
2760.0,2790.0,0,0,0,0,0,2,5,0,0,0,1,1,0,1,"SPEAKER_07, SPEAKER_08"
2775.0,2805.0,0,0,0,0,0,2,7,0,0,0,1,2,0,2,"SPEAKER_07, SPEAKER_08"
2790.0,2820.0,0,0,0,0,0,0,4,0,0,0,1,2,0,2,SPEAKER_07
2805.0,2835.0,0,0,0,0,0,1,2,0,0,0,1,3,0,1,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
2820.0,2850.0,0,0,0,0,0,2,4,0,0,0,0,3,0,2,"SPEAKER_03, SPEAKER_08"
2835.0,2865.0,0,0,0,0,0,1,5,0,0,0,0,3,0,2,"SPEAKER_00, SPEAKER_06, SPEAKER_08"
2850.0,2880.0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,"SPEAKER_00, SPEAKER_06"
2895.0,2925.0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,SPEAKER_08
2910.0,2940.0,0,0,0,0,0,1,3,0,0,1,0,0,1,2,"SPEAKER_07, SPEAKER_08"
2925.0,2955.0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,"SPEAKER_07, SPEAKER_08"
3000.0,3030.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,SPEAKER_05
3015.0,3045.0,0,0,2,0,0,1,2,0,0,0,0,1,0,1,"SPEAKER_05, SPEAKER_06"
3030.0,3060.0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,"SPEAKER_05, SPEAKER_06"
3045.0,3075.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,SPEAKER_05
3060.0,3090.0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,"SPEAKER_07, SPEAKER_08"
3075.0,3105.0,0,0,1,0,0,2,4,0,0,0,0,0,0,1,"SPEAKER_07, SPEAKER_08"
3090.0,3120.0,0,0,0,0,0,1,6,0,0,1,0,3,0,4,SPEAKER_08
3105.0,3135.0,0,0,0,0,0,0,5,0,0,1,0,4,0,5,"SPEAKER_06, SPEAKER_07, SPEAKER_08"
3120.0,3150.0,0,0,1,0,0,0,1,1,0,1,0,2,0,2,"SPEAKER_02, SPEAKER_06, SPEAKER_07, SPEAKER_08"
3135.0,3165.0,0,0,1,0,0,0,1,1,0,0,0,3,0,1,"SPEAKER_02, SPEAKER_04, SPEAKER_08"
3150.0,3180.0,0,0,0,0,0,3,2,1,0,0,0,5,0,3,"SPEAKER_04, SPEAKER_05"
3165.0,3195.0,0,0,0,0,0,3,2,1,0,0,0,6,0,2,"SPEAKER_04, SPEAKER_05"
3180.0,3210.0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,"SPEAKER_04, SPEAKER_05"
3210.0,3240.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SPEAKER_02
3225.0,3255.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SPEAKER_02
