window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO,speaker
870.0,900.0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,"CSLLaptop, HCILab1"
885.0,915.0,1,2,0,0,0,1,0,0,0,0,3,0,0,0,"CSLLaptop, CSLPC, HCILab1"
900.0,930.0,0,2,1,0,0,2,0,0,0,0,2,0,0,0,"CSLLaptop, CSLPC"
915.0,945.0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,CSLPC
930.0,960.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"CSLPC, HCILab2"
945.0,975.0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,"CSLPC, HCILab1, HCILab2"
960.0,990.0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,"CSLPC, HCILab1"
975.0,1005.0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,CSLPC
990.0,1020.0,1,3,1,0,1,2,0,0,0,0,2,0,0,0,CSLPC
1005.0,1035.0,1,4,1,0,1,2,0,0,0,0,2,1,0,0,"CSLPC, HCILab2"
1020.0,1050.0,1,1,1,0,1,1,0,0,0,0,2,1,0,0,"CSLPC, HCILab2"
1035.0,1065.0,1,0,1,0,1,2,0,0,0,0,4,1,0,0,"CSLLaptop, CSLPC, HCILab2"
1050.0,1080.0,2,2,0,0,0,1,0,0,0,0,2,2,0,0,CSLLaptop
1065.0,1095.0,2,2,0,0,0,1,0,0,0,0,3,2,0,0,"CSLLaptop, HCILab2"
1080.0,1110.0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,"CSLLaptop, HCILab1, HCILab2"
1095.0,1125.0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
1110.0,1140.0,1,2,0,0,0,0,0,0,0,0,9,0,0,0,"CSLLaptop, CSLPC, HCILab2"
1125.0,1155.0,4,2,0,0,0,2,0,1,0,0,4,0,0,0,CSLPC
1140.0,1170.0,3,1,0,0,0,3,0,1,0,0,2,0,0,0,"CSLPC, HCILab1, HCILab2"
1155.0,1185.0,1,3,0,0,0,1,0,0,0,0,3,0,0,0,"CSLPC, HCILab1, HCILab2"
1170.0,1200.0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,"HCILab1, HCILab2"
1185.0,1215.0,1,3,0,0,0,0,0,0,0,0,6,0,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
1200.0,1230.0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,"CSLLaptop, CSLPC"
1215.0,1245.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,CSLPC
1230.0,1260.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CSLPC
1245.0,1275.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HCILab2
1260.0,1290.0,0,2,0,0,1,2,0,0,0,0,7,1,0,0,"CSLLaptop, HCILab2"
1275.0,1305.0,0,2,0,0,1,2,0,0,0,0,7,1,0,0,"CSLLaptop, HCILab2"
1290.0,1320.0,1,2,0,0,1,2,0,0,0,0,8,1,0,0,"CSLLaptop, CSLPC"
1305.0,1335.0,1,2,0,0,1,2,0,0,0,0,8,1,0,0,"CSLLaptop, CSLPC"
1320.0,1350.0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,"CSLPC, HCILab1"
1335.0,1365.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"CSLPC, HCILab1"
1350.0,1380.0,0,0,0,0,0,4,1,0,0,0,16,0,0,0,"CSLPC, HCILab1, HCILab2"
1365.0,1395.0,0,0,0,0,0,4,1,0,0,0,17,0,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
1380.0,1410.0,2,3,0,0,0,4,1,0,0,0,14,0,0,0,"CSLLaptop, CSLPC, HCILab1"
1395.0,1425.0,3,6,0,0,0,0,0,0,0,0,6,0,0,0,CSLPC
1410.0,1440.0,3,6,0,0,0,1,0,0,0,0,6,0,0,0,"CSLLaptop, CSLPC"
1425.0,1455.0,1,3,0,0,2,2,1,0,0,0,2,0,0,0,"CSLLaptop, CSLPC"
1440.0,1470.0,0,3,0,0,2,2,2,0,0,0,6,0,0,0,"CSLLaptop, CSLPC, HCILab1"
1455.0,1485.0,0,3,0,0,2,1,1,0,0,0,6,0,0,0,"CSLLaptop, CSLPC, HCILab1"
1500.0,1530.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,CSLPC
1515.0,1545.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,CSLPC
1560.0,1590.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,CSLPC
1575.0,1605.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,CSLPC
1590.0,1620.0,2,3,2,0,0,2,0,0,0,0,5,0,0,0,"CSLPC, HCILab2"
1605.0,1635.0,1,0,2,0,0,2,0,0,0,0,7,0,0,0,"CSLPC, HCILab1, HCILab2"
1620.0,1650.0,1,0,2,0,0,2,0,0,0,0,7,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1635.0,1665.0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,"CSLLaptop, HCILab1"
1650.0,1680.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,CSLPC
1665.0,1695.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,CSLPC
1740.0,1770.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CSLPC
1755.0,1785.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CSLPC
1815.0,1845.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CSLPC
1830.0,1860.0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,"CSLPC, HCILab2"
1845.0,1875.0,1,3,1,0,0,1,0,0,0,0,6,1,0,0,"CSLPC, HCILab2"
1860.0,1890.0,1,5,1,0,0,1,0,0,0,0,5,1,0,0,"CSLPC, HCILab2"
1875.0,1905.0,1,6,1,0,0,1,0,0,0,0,8,1,0,0,"CSLLaptop, CSLPC, HCILab2"
1890.0,1920.0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,"CSLLaptop, CSLPC"
1905.0,1935.0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,"CSLLaptop, HCILab1"
1920.0,1950.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,"CSLLaptop, HCILab1"
1965.0,1995.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,CSLPC
1980.0,2010.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,"CSLLaptop, CSLPC"
1995.0,2025.0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,"CSLLaptop, CSLPC"
2010.0,2040.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,CSLLaptop
2025.0,2055.0,3,1,0,0,0,1,0,0,0,0,4,0,0,0,CSLLaptop
2040.0,2070.0,1,1,0,0,0,1,0,0,0,0,4,0,0,0,CSLLaptop
2055.0,2085.0,1,1,0,0,0,1,0,0,0,0,6,0,0,0,CSLLaptop
2070.0,2100.0,1,1,0,0,0,1,0,0,0,0,6,1,0,0,CSLLaptop
2085.0,2115.0,1,3,0,0,0,1,0,0,0,1,3,2,0,0,"CSLLaptop, CSLPC"
2100.0,2130.0,1,3,0,0,0,1,0,0,0,1,1,1,0,0,CSLPC
2115.0,2145.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,CSLPC
2205.0,2235.0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,CSLPC
2220.0,2250.0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,"CSLPC, HCILab2"
2235.0,2265.0,3,1,1,0,2,6,0,0,0,0,12,0,0,1,"CSLPC, HCILab1, HCILab2"
2250.0,2280.0,4,1,2,0,1,4,0,0,0,0,12,0,0,0,"HCILab1, HCILab2"
2265.0,2295.0,6,4,3,0,1,5,0,0,0,1,13,0,0,0,"CSLPC, HCILab1, HCILab2"
2280.0,2310.0,3,5,1,0,0,1,0,0,0,1,2,0,0,0,"CSLPC, HCILab2"
2295.0,2325.0,1,6,1,0,0,1,0,0,0,0,2,0,0,0,"CSLLaptop, CSLPC"
2310.0,2340.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,CSLLaptop
2325.0,2355.0,0,4,0,0,1,1,2,0,0,0,0,1,0,0,CSLLaptop
2340.0,2370.0,1,2,0,0,1,1,2,0,0,0,0,1,0,0,CSLLaptop
2355.0,2385.0,3,4,0,0,1,1,2,0,0,0,2,0,0,0,"CSLLaptop, HCILab1"
2370.0,2400.0,2,3,0,0,0,1,1,0,0,0,12,1,0,0,"CSLLaptop, HCILab1"
2385.0,2415.0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,CSLLaptop
2400.0,2430.0,0,1,0,0,1,0,0,0,0,0,9,3,0,0,"CSLLaptop, CSLPC"
2415.0,2445.0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,"CSLPC, HCILab1"
2430.0,2460.0,1,0,0,0,1,1,0,2,0,0,5,2,0,0,"CSLLaptop, CSLPC, HCILab1"
2445.0,2475.0,1,3,1,1,1,0,0,2,0,0,6,0,0,0,"CSLLaptop, CSLPC, HCILab2"
2460.0,2490.0,0,3,1,1,1,0,0,0,0,0,4,0,0,0,"CSLPC, HCILab2"
2475.0,2505.0,0,3,2,2,1,1,2,0,0,0,15,0,0,0,"HCILab1, HCILab2"
2490.0,2520.0,0,3,2,2,1,1,2,0,0,0,15,0,0,0,"HCILab1, HCILab2"
2505.0,2535.0,0,0,1,1,0,1,2,0,0,0,13,0,0,0,"CSLPC, HCILab1"
2520.0,2550.0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2535.0,2565.0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2550.0,2580.0,0,4,0,1,0,1,1,0,0,0,3,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2565.0,2595.0,0,4,0,1,0,0,2,0,0,0,1,0,0,0,"CSLPC, HCILab1"
2580.0,2610.0,1,2,0,0,0,1,2,0,0,0,2,0,0,0,"CSLPC, HCILab1"
2595.0,2625.0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,HCILab1
2655.0,2685.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,CSLPC
2670.0,2700.0,2,1,0,0,0,3,0,0,0,0,1,0,0,0,"CSLPC, HCILab1"
2685.0,2715.0,2,1,0,1,0,2,0,0,0,1,2,0,0,0,"CSLPC, HCILab1"
2700.0,2730.0,3,3,0,1,0,2,0,2,0,1,6,0,0,0,"CSLPC, HCILab1, HCILab2"
2715.0,2745.0,2,2,0,0,0,1,0,2,0,0,5,0,0,0,"CSLPC, HCILab2"
2730.0,2760.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,CSLPC
2760.0,2790.0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,CSLPC
2775.0,2805.0,0,3,0,0,1,1,0,0,0,0,2,0,0,0,CSLPC
2790.0,2820.0,0,3,0,0,0,2,0,0,0,0,3,1,0,0,"CSLLaptop, CSLPC"
2805.0,2835.0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,CSLLaptop
2820.0,2850.0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,CSLLaptop
2850.0,2880.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,CSLPC
2865.0,2895.0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,"CSLPC, HCILab1"
2880.0,2910.0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,"CSLPC, HCILab1"
2895.0,2925.0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,"CSLLaptop, CSLPC, HCILab1"
2910.0,2940.0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,"CSLLaptop, CSLPC"
2925.0,2955.0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2940.0,2970.0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2955.0,2985.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,CSLLaptop
2970.0,3000.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,CSLLaptop
2985.0,3015.0,1,4,1,1,0,2,1,1,0,0,4,4,0,0,"CSLLaptop, HCILab1"
3000.0,3030.0,0,3,1,1,0,1,1,1,0,0,5,3,0,0,"CSLPC, HCILab1"
3015.0,3045.0,0,3,1,1,0,0,0,0,0,0,3,3,0,0,"CSLPC, HCILab1"
3060.0,3090.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,CSLLaptop
3075.0,3105.0,3,3,0,0,0,0,0,0,0,0,1,1,0,1,CSLLaptop
3090.0,3120.0,3,3,0,0,0,0,0,0,0,0,6,2,0,1,"CSLLaptop, HCILab1"
3105.0,3135.0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,"CSLLaptop, HCILab1"
3120.0,3150.0,2,2,0,2,0,2,0,0,0,0,1,2,0,0,HCILab1
3135.0,3165.0,5,3,0,3,0,2,0,0,0,0,1,3,0,0,HCILab1
3150.0,3180.0,7,7,0,3,1,3,0,0,0,0,3,4,0,0,"CSLPC, HCILab1"
3165.0,3195.0,2,4,0,0,1,1,0,0,0,0,3,1,0,0,"CSLPC, HCILab1"
3180.0,3210.0,3,6,0,0,0,1,0,0,0,0,3,1,0,0,"CSLPC, HCILab1"
3195.0,3225.0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,CSLPC
3210.0,3240.0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,"CSLLaptop, CSLPC, HCILab1"
3225.0,3255.0,2,2,0,0,0,1,0,0,0,0,3,1,0,0,"CSLLaptop, HCILab1"
3240.0,3270.0,2,3,0,0,0,1,0,0,0,0,3,0,0,0,CSLLaptop
3255.0,3285.0,2,3,0,0,0,1,0,0,0,0,3,2,0,0,"CSLLaptop, HCILab1"
3270.0,3300.0,2,2,0,0,0,1,0,0,0,0,1,2,0,0,"CSLPC, HCILab1"
3285.0,3315.0,2,2,0,0,0,2,0,0,0,0,2,1,0,0,"CSLPC, HCILab1"
3300.0,3330.0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,"CSLPC, HCILab1"
3330.0,3360.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,CSLLaptop
3345.0,3375.0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,CSLLaptop
3360.0,3390.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,CSLLaptop
3375.0,3405.0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,CSLLaptop
3390.0,3420.0,0,2,0,0,0,1,0,0,0,0,5,1,0,0,"CSLLaptop, HCILab1, HCILab2"
3405.0,3435.0,0,2,0,0,0,1,0,0,0,0,10,2,0,0,"CSLLaptop, HCILab1, HCILab2"
3420.0,3450.0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,HCILab1
3450.0,3480.0,1,1,1,0,0,0,0,1,0,0,7,0,0,0,"CSLPC, HCILab1"
3465.0,3495.0,1,1,1,0,0,0,0,1,0,0,8,0,0,0,"CSLLaptop, CSLPC, HCILab1"
3480.0,3510.0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,"CSLLaptop, CSLPC"
3495.0,3525.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,CSLPC
3510.0,3540.0,1,0,0,0,1,1,0,0,0,0,5,1,0,0,"CSLLaptop, CSLPC, HCILab1"
3525.0,3555.0,1,2,0,0,1,1,0,0,0,0,5,1,1,0,"CSLLaptop, CSLPC, HCILab1"
3540.0,3570.0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,HCILab1
3570.0,3600.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,CSLPC
3585.0,3615.0,2,2,0,0,1,0,0,0,0,0,3,2,0,0,CSLPC
3600.0,3630.0,2,2,0,0,1,0,0,0,0,0,8,4,0,0,"CSLPC, HCILab1"
3615.0,3645.0,0,1,0,0,0,0,0,0,0,0,7,3,0,0,"CSLLaptop, CSLPC, HCILab1"
3630.0,3660.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CSLLaptop
3645.0,3675.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,CSLLaptop
3660.0,3690.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,CSLLaptop
3675.0,3705.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,CSLLaptop
3720.0,3750.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Chris
3735.0,3765.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,Chris
3750.0,3780.0,1,3,1,0,1,0,0,0,0,0,4,0,0,0,Chris
3765.0,3795.0,2,3,0,0,1,1,0,0,0,0,4,0,0,0,Chris
3780.0,3810.0,2,4,0,0,1,2,0,0,0,0,6,0,0,0,"CSLLaptop, CSLPC, Chris, HCILab1, HCILab2"
3795.0,3825.0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,"CSLLaptop, CSLPC, Chris, HCILab1, HCILab2"
3855.0,3885.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Chris
3870.0,3900.0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,Chris
3885.0,3915.0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,Chris
