window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
2445.0,2475.0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,"SPEAKER_02, SPEAKER_03, SPEAKER_06"
2460.0,2490.0,1,0,0,0,4,0,0,0,0,0,1,0,1,3,"SPEAKER_02, SPEAKER_06"
2475.0,2505.0,2,0,0,0,12,0,0,0,1,0,1,0,2,3,"SPEAKER_02, SPEAKER_07"
2490.0,2520.0,1,1,0,0,12,0,0,0,2,0,0,0,1,0,SPEAKER_07
2505.0,2535.0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,"SPEAKER_06, SPEAKER_07"
2520.0,2550.0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,"SPEAKER_03, SPEAKER_06"
2535.0,2565.0,0,1,0,0,5,0,0,0,1,0,0,0,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
2550.0,2580.0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,"SPEAKER_06, SPEAKER_07"
2565.0,2595.0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,"SPEAKER_06, SPEAKER_07"
2580.0,2610.0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,SPEAKER_07
2595.0,2625.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,SPEAKER_07
2655.0,2685.0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_06
2670.0,2700.0,1,4,0,0,2,0,1,2,0,0,0,0,0,1,"SPEAKER_06, SPEAKER_07"
2685.0,2715.0,0,2,0,0,4,1,1,3,0,0,0,0,1,4,"SPEAKER_06, SPEAKER_07"
2700.0,2730.0,0,1,0,0,6,2,1,2,0,0,0,0,1,3,"SPEAKER_02, SPEAKER_06, SPEAKER_07"
2715.0,2745.0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_06"
2745.0,2775.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,SPEAKER_06
2760.0,2790.0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,SPEAKER_06
2775.0,2805.0,0,2,0,0,2,0,0,0,0,0,0,1,0,3,"SPEAKER_03, SPEAKER_06"
2790.0,2820.0,0,3,0,0,2,0,0,0,0,0,0,1,0,2,"SPEAKER_03, SPEAKER_06"
2805.0,2835.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,SPEAKER_03
2850.0,2880.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,SPEAKER_06
2865.0,2895.0,0,2,0,0,7,0,0,2,0,0,0,1,0,3,"SPEAKER_06, SPEAKER_07"
2880.0,2910.0,0,1,0,0,7,0,0,1,0,0,0,1,0,2,"SPEAKER_06, SPEAKER_07"
2895.0,2925.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,SPEAKER_03
2910.0,2940.0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
2925.0,2955.0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,"SPEAKER_06, SPEAKER_07"
2940.0,2970.0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,"SPEAKER_06, SPEAKER_07, SPEAKER_08"
2955.0,2985.0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,"SPEAKER_03, SPEAKER_08"
2970.0,3000.0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,"SPEAKER_03, SPEAKER_07"
2985.0,3015.0,1,2,0,0,2,1,0,1,1,0,0,3,1,2,"SPEAKER_03, SPEAKER_07"
3000.0,3030.0,1,1,0,0,4,0,0,0,0,0,0,3,1,3,"SPEAKER_06, SPEAKER_07"
3015.0,3045.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,"SPEAKER_06, SPEAKER_07"
3060.0,3090.0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,SPEAKER_03
3075.0,3105.0,0,0,0,0,3,0,0,5,0,1,0,3,0,2,"SPEAKER_03, SPEAKER_07"
3090.0,3120.0,0,0,0,0,4,0,0,4,0,0,0,2,0,0,"SPEAKER_03, SPEAKER_04, SPEAKER_07"
3105.0,3135.0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,"SPEAKER_04, SPEAKER_07"
3120.0,3150.0,0,1,0,0,1,0,0,2,0,0,0,2,1,2,SPEAKER_07
3135.0,3165.0,0,2,0,0,5,0,0,4,0,0,1,3,3,4,"SPEAKER_06, SPEAKER_07"
