window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
1665.0,1695.0,1,1,0,0,0,0,0,2,0,0,0,0,2,3,SPEAKER_02
1680.0,1710.0,0,2,0,0,1,0,0,1,0,0,0,0,2,1,"SPEAKER_02, SPEAKER_06"
1695.0,1725.0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,"SPEAKER_02, SPEAKER_06"
1710.0,1740.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,SPEAKER_02
1755.0,1785.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_04
1770.0,1800.0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,SPEAKER_04
1785.0,1815.0,0,1,0,0,4,0,0,2,0,0,0,0,0,3,SPEAKER_04
1800.0,1830.0,0,1,0,0,5,0,0,2,0,0,0,0,0,3,"SPEAKER_00, SPEAKER_04"
1815.0,1845.0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_04"
1830.0,1860.0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_04"
1845.0,1875.0,0,0,0,0,6,0,0,1,0,0,0,1,0,3,"SPEAKER_00, SPEAKER_04"
1860.0,1890.0,0,2,0,0,5,0,0,1,0,0,0,2,0,2,"SPEAKER_00, SPEAKER_04"
1875.0,1905.0,0,3,0,0,4,0,0,1,0,0,0,1,0,0,"SPEAKER_00, SPEAKER_04"
1890.0,1920.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_04"
1935.0,1965.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_04
1950.0,1980.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_04"
1965.0,1995.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_04"
1980.0,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_04
1995.0,2025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_04
2025.0,2055.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_00
2040.0,2070.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_00
2055.0,2085.0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,SPEAKER_00
2070.0,2100.0,1,5,0,0,7,0,0,1,0,0,0,0,0,1,"SPEAKER_00, SPEAKER_04"
2085.0,2115.0,1,4,0,0,8,0,0,0,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_04"
2100.0,2130.0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,"SPEAKER_00, SPEAKER_04"
2115.0,2145.0,0,1,0,0,3,0,0,0,0,0,0,1,0,2,"SPEAKER_00, SPEAKER_04"
2130.0,2160.0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,SPEAKER_04
2205.0,2235.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,SPEAKER_04
