window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
2445.0,2475.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,SPEAKER_01
2460.0,2490.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,SPEAKER_01
2475.0,2505.0,0,0,0,0,5,0,0,1,0,0,0,0,0,3,"SPEAKER_01, SPEAKER_03, SPEAKER_07"
2490.0,2520.0,0,1,0,0,4,0,0,1,0,1,2,0,0,5,"SPEAKER_01, SPEAKER_03, SPEAKER_07"
2505.0,2535.0,0,1,0,0,4,0,0,0,0,1,2,0,0,4,SPEAKER_01
2520.0,2550.0,0,1,0,0,5,0,0,1,0,0,1,1,0,5,"SPEAKER_01, SPEAKER_03"
2535.0,2565.0,0,1,0,0,1,0,0,1,0,0,2,1,0,4,"SPEAKER_01, SPEAKER_03, SPEAKER_07"
2550.0,2580.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"SPEAKER_01, SPEAKER_03, SPEAKER_07"
2565.0,2595.0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,"SPEAKER_00, SPEAKER_01, SPEAKER_07"
2580.0,2610.0,1,4,0,0,1,0,0,0,0,0,0,1,0,4,"SPEAKER_00, SPEAKER_01, SPEAKER_04, SPEAKER_07"
2595.0,2625.0,1,3,0,0,1,0,0,0,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_04, SPEAKER_06"
2610.0,2640.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_06"
2625.0,2655.0,0,2,0,0,4,0,1,1,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_01, SPEAKER_07"
2640.0,2670.0,0,2,0,0,8,0,2,0,0,0,0,1,1,3,"SPEAKER_00, SPEAKER_01, SPEAKER_07"
2655.0,2685.0,1,2,0,0,5,0,1,0,0,0,0,1,1,3,"SPEAKER_01, SPEAKER_07"
2670.0,2700.0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
2685.0,2715.0,1,1,0,0,5,0,0,3,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
2700.0,2730.0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
2715.0,2745.0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
2730.0,2760.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_01
2745.0,2775.0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,SPEAKER_01
2760.0,2790.0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
2775.0,2805.0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
2790.0,2820.0,0,5,0,0,0,1,0,2,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_06"
2805.0,2835.0,0,5,0,0,3,0,1,2,0,0,1,1,0,4,"SPEAKER_01, SPEAKER_06, SPEAKER_07"
2820.0,2850.0,0,3,0,0,7,0,1,0,0,0,1,2,0,2,"SPEAKER_01, SPEAKER_06, SPEAKER_07"
2835.0,2865.0,0,2,0,0,5,0,2,1,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_07"
2850.0,2880.0,0,2,0,0,2,0,1,1,0,0,0,0,0,1,SPEAKER_01
2865.0,2895.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_01
2880.0,2910.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_01
2895.0,2925.0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,"SPEAKER_01, SPEAKER_03"
2910.0,2940.0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,"SPEAKER_01, SPEAKER_03"
2925.0,2955.0,1,1,0,0,10,0,1,0,0,0,0,1,0,2,SPEAKER_01
2940.0,2970.0,1,2,0,0,16,0,1,0,0,0,0,1,0,3,SPEAKER_01
2955.0,2985.0,2,1,0,0,8,0,0,0,0,0,0,0,0,1,SPEAKER_01
2970.0,3000.0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_03, SPEAKER_07"
2985.0,3015.0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,"SPEAKER_03, SPEAKER_07"
3000.0,3030.0,1,1,0,0,3,0,0,0,1,0,0,2,0,0,"SPEAKER_01, SPEAKER_03"
3015.0,3045.0,1,1,0,0,3,0,0,0,0,0,0,2,0,0,SPEAKER_01
3030.0,3060.0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,"SPEAKER_01, SPEAKER_07"
3045.0,3075.0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,"SPEAKER_01, SPEAKER_07"
3060.0,3090.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,SPEAKER_01
3075.0,3105.0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,SPEAKER_01
3090.0,3120.0,0,0,0,0,11,0,0,1,0,0,0,1,0,1,SPEAKER_01
3105.0,3135.0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_03"
3120.0,3150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,SPEAKER_03
3135.0,3165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPEAKER_01
3150.0,3180.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_06"
3165.0,3195.0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_06"
3180.0,3210.0,0,4,0,0,3,1,0,3,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
3195.0,3225.0,0,4,0,0,4,0,0,3,0,0,0,1,0,1,"SPEAKER_01, SPEAKER_07"
3210.0,3240.0,0,5,0,0,2,0,1,0,0,0,0,1,0,0,SPEAKER_01
3225.0,3255.0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,SPEAKER_01
3240.0,3270.0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,SPEAKER_01
3255.0,3285.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,SPEAKER_01
3270.0,3300.0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
3285.0,3315.0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02"
3300.0,3330.0,1,5,0,0,1,1,0,2,0,0,0,0,0,1,SPEAKER_01
3315.0,3345.0,0,6,0,0,3,1,0,3,0,0,0,0,0,2,SPEAKER_01
3330.0,3360.0,0,3,0,0,3,1,1,2,0,0,0,0,0,1,SPEAKER_01
3345.0,3375.0,0,3,0,0,3,1,1,1,0,0,1,0,0,0,SPEAKER_01
3360.0,3390.0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,SPEAKER_01
3375.0,3405.0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,SPEAKER_01
3390.0,3420.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,SPEAKER_01
3405.0,3435.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,SPEAKER_01
3420.0,3450.0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,SPEAKER_01
3435.0,3465.0,0,1,0,0,5,0,0,1,0,0,0,0,0,3,"SPEAKER_01, SPEAKER_06"
3450.0,3480.0,0,1,0,0,2,0,0,2,0,0,1,0,0,4,"SPEAKER_01, SPEAKER_06"
3465.0,3495.0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,SPEAKER_01
3480.0,3510.0,0,3,0,0,3,1,0,1,0,0,0,0,0,0,SPEAKER_01
3495.0,3525.0,1,2,0,0,5,1,0,1,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_01, SPEAKER_06, SPEAKER_07"
3510.0,3540.0,1,3,0,0,4,0,0,0,1,0,0,0,0,3,"SPEAKER_00, SPEAKER_01, SPEAKER_06, SPEAKER_07"
3525.0,3555.0,1,4,0,0,3,0,0,0,1,0,0,0,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_07"
3540.0,3570.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_07"
3555.0,3585.0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_07"
3570.0,3600.0,0,2,0,0,9,1,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_07"
3585.0,3615.0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_07"
3600.0,3630.0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,"SPEAKER_01, SPEAKER_02, SPEAKER_07"
3615.0,3645.0,1,3,0,0,2,0,0,0,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_02"
3630.0,3660.0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,SPEAKER_01
3645.0,3675.0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,SPEAKER_01
3660.0,3690.0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,SPEAKER_01
3675.0,3705.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"SPEAKER_01, SPEAKER_02"
