speaker,window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP
CSLPC,3000.0,3030.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,3015.0,3045.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,3090.0,3120.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLPC,3105.0,3135.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLPC,3225.0,3255.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CSLPC,3240.0,3270.0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
CSLPC,3255.0,3285.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLPC,3345.0,3375.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
CSLPC,3360.0,3390.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
CSLPC,3405.0,3435.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,3420.0,3450.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,3510.0,3540.0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
CSLPC,3525.0,3555.0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
